Company,title,location,date_posted,link,role description,role responsibilities,role reqs,final fit,yrs exp req,Description,URL,fit,Unnamed: 8,fit reason,role years experience
Lightdash,GTM Engineer,UK - Remote,"Jul 11, 2025",https://jobs.ashbyhq.com/lightdash/cc5b7914-91d3-4f98-9f9b-3b7a44f1bdd4,"The provided text contains technical webpage/JavaScript loader code and site messaging, not a job description. No company, role, or hiring details are present in the content supplied.",['No responsibilities listed in the provided text.'],['No hiring requirements or qualifications are present in the provided text.'],8,,The open source Looker alternative.,https://www.lightdash.com/,8.0,,"Strong analytics, A/B testing, and growth/deployment experience — good fit for GTM/Go‑to‑market engineering; posting lacks details.",
Merge,Sales Development Representative,"San Francisco, CA","Aug 24, 2025",https://job-boards.greenhouse.io/merge/jobs/4861708004,"Merge, a San Francisco-based provider of integration and AI agent tools for enterprise and B2B SaaS, is hiring a Sales Development Representative to run outbound prospecting, generate qualified meetings/opportunities, and grow into an Account Executive with mentorship. The role emphasizes use of modern sales tech, experimentation on outbound motion, and offers competitive pay and benefits.","['Serve as first point of contact to introduce Merge and its value to prospects and their engineering teams', 'Create qualified meetings and opportunities via multi-touch outbound cadences (prospecting, email outreach, cold calling, LinkedIn social selling, etc.)', 'Use and master sales tools such as Salesforce, Outreach, LinkedIn Sales Navigator, and Gong', 'Continuously test and optimize outbound approaches, collect data, and share learnings with the team', 'Collaborate cross-functionally and participate in mentorship aimed at progressing into an Account Executive role']","['Exposure to fast-paced corporate environments and experience working cross-functionally', 'Previous experience selling products or services directly to customers', 'High grit, resourcefulness, and motivation to develop sales skills', 'Ability to thrive in collaborative teams, actively listen, give and receive feedback', 'Growth mindset and openness to coaching', 'Strong time management and multitasking abilities', 'Excellent verbal and written communication skills']",8,,One API to 100s of integrations.,https://joinmergeintegrate.com/,6.0,,"Strong fit for a tech-focused BD/Growth path—technical fluency, cross-functional ops experience, experimentation mindset, and high grit; main drawback is limited direct quota-bearing sales experience.",
Allium,Operations Associate,New York,"Jun 2, 2025",https://jobs.ashbyhq.com/allium/ff1eda33-1b6e-41cb-967c-d11142cacf7f,"Operations Associate at Allium, a company that ingests, standardizes and serves blockchain data to institutional and developer customers. The role partners with leadership to scale operations across finance, investor relations, GTM, vendor management, real estate/logistics and cross-functional business functions.","['Scale operations across finance, investor relations, go-to-market, vendor management and other business functions', 'Collaborate with Sales, Marketing and Legal on customer materials, events, agreements and contracts', 'Support investor relations by developing investor materials, reporting and engagement', 'Drive special projects such as pricing strategy, customer onboarding & success, and GTM partnerships', 'Manage relationships with vendors and service providers', 'Help manage real-estate footprint, office presence and logistics', 'Partner cross-functionally to scale Marketing, Product, HR, Compliance, IT and other operational functions']","['1–5 years professional experience, ideally in operations at a rapidly scaling company', 'Proven experience building and managing processes from scratch', 'Advanced spreadsheet skills (Excel/Google Sheets) and strong quantitative ability', 'High attention to detail, strong organizational skills, ability to context-switch and manage many functions', 'Proactive ownership mindset, meets deadlines and operates well in ambiguous, fast-changing environments', 'Strong execution orientation, urgency and focus on continual improvement', 'High integrity and discretion handling confidential customer and company information', 'Team-first attitude with humility and service orientation', 'Crypto-curious (no prior blockchain experience required)', 'Analytical and operational expertise with ability to move from strategy to execution']",8,1.0,Blockchain data for every use case.,https://medium.com/snowflake/how-allium-delivers-petabyte-scale-blockchain-data-with-snowflake-secure-data-sharing-ddfb32fccfda,8.0,,"Strong ops/process-building, analytics (Excel/SQL/Python) and cross-functional experience; limited direct crypto and real-estate ops exposure.",
Superblocks,Business Development Representative,"New York, NY","Apr 23, 2025",https://job-boards.greenhouse.io/superblocks/jobs/4030395005,"Business Development Representative at Superblocks (New York, NY). Join a fast-growing AI-focused SaaS startup to build the outbound sales engine, work directly with sales leadership and the CEO, and act as a founding member of the sales organization with high ownership and travel to major trade shows.","['Design and build the outbound playbook (templates, scripts, processes) in partnership with Head of Sales, Head of Sales Development, and CEO', 'Conduct outreach and engagement with technical buyers via email, LinkedIn, cold calls, and other channels', 'Research, map, and prioritize prospective accounts; evaluate and onboard or build tools for prospecting', 'Set, track, and achieve daily, monthly, quarterly, and annual metrics to drive top-of-funnel pipeline', 'Participate in ongoing enablement to develop product and industry acumen for highly customized outreach', 'Travel with the team to high-profile trade shows (e.g., Las Vegas, Los Angeles, San Francisco, London) to engage prospects']","['Excited to join and help build a category-defining SaaS company from the ground floor', 'Motivated by meaningful equity and a founding role in the sales org', 'Highly competitive, goal-oriented, and consistently exceeds targets', 'Clear, concise communicator who values brevity', 'Driven to become a world-class seller with a path to closing business', 'Comfortable working in a high-growth, fast-paced environment and willing to travel']",8,,Programmable internal tooling platform for developers.,https://www.superblocks.com/webinar/python,9.0,,"Strong fit for BD/GTM: technical background, startup/VC and sourcing experience, and interest in business development — but limited explicit cold‑outbound/quota-carrying sales experience.",
ShopMy,"Business Development Representative, Strategic Creators",US- Remote,"Oct 16, 2025",https://job-boards.greenhouse.io/shopmy/jobs/4957162008,"ShopMy is a fast-growing, funded creator-commerce platform hiring a Business Development Representative (Strategic Creators) to identify, engage, and book meetings with high-potential creators to drive GMV and brand partnerships. The role focuses on outbound prospecting, pipeline management, and handoffs to the Strategic Creators team in a metrics-driven, collaborative environment.","['Research and identify high-potential creators across target categories', 'Build and manage a structured top-of-funnel outreach pipeline', 'Execute personalized outbound campaigns via email, social, DMs, and event follow-ups', 'Craft tailored pitches highlighting ShopMy’s value proposition and earning opportunities', 'Schedule and manage logistics for intro calls and demos and ensure smooth handoffs', 'Track outreach metrics (volume, response rate, meeting conversion) and optimize performance', 'Maintain accurate data in CRM and outreach tracking tools', 'Collaborate with Creator Experience, Creator Growth, and Marketing and share feedback from creator conversations']","['Bachelor’s degree required', '1–2 years experience in outbound sales, partnerships, or creator/influencer marketing preferred', 'Strong written and verbal communication skills; comfortable engaging creators and agents', 'Analytical, data-driven mindset with ability to act on performance metrics', 'Organized, self-starter with strong follow-up and pipeline management skills', 'Motivated by metrics and results; persistent and competitive']",8,1.0,World-class creator marketing programs.,https://www.linkedin.com/company/shopmy-,9.0,,"Very good fit: BD/sourcing, analytics, outreach & pipeline skills align well; minor gap — limited direct creator-sales experience.",
Reka AI,Member of Product Staff (Quality and Operations),"US, UK, Singapore, Remote","Jul 22, 2025",https://jobs.ashbyhq.com/Reka/062f331a-4c8e-4c7f-9800-863543a1bcbc,No job description or company information found in the provided posting; the content appears to be front-end application markup and scripts rather than a job listing.,[],[],8,,"Multimodal, modular intelligence.",https://reka.ai/,8.0,,"Strong match — quality/operations coursework and product/ops experience align well with goal to bridge strategy, ops, and tech; lack of job details creates some uncertainty.",
Dust,GTM Engineer,Paris,"Oct 20, 2025",https://jobs.ashbyhq.com/dust/20ab3e5a-21e9-412c-8289-420d9530f779,"Dust, a Sequoia-backed AI company building an AI operating system, is hiring its first GTM Engineer to design and build automated outbound prospecting systems and AI-powered workflows that generate pipeline across US and EU markets while working closely with RevOps and Sales.","['Design and build end-to-end automated prospection systems for French and US markets using the GTM stack (Dust, CommonRoom, Clay, Lemlist, HubSpot).', 'Create workflows to identify high-intent prospects, enrich data, generate personalized outreach, and route qualified leads to BDRs.', 'Automate repetitive sales tasks, develop playbooks, and train Sales/BDR teams to scale outreach and impact.', 'Own outbound campaigns end-to-end, track key metrics, optimize performance, and drive measurable pipeline generation.', 'Run rapid experiments (A/B tests) for messaging and targeting, measure results, and scale successful approaches.', 'Define and evolve best practices for GTM engineering in an AI-first company.']","['2–5 years experience in an Operations or Engineering role.', 'Technical fluency with multiple SaaS tools, APIs & webhooks, automation platforms, and basic scripting.', 'Strong interest in AI and its application to GTM strategies.', 'Business-oriented mindset with understanding of sales processes and lead qualification; growth mindset.', 'Data-driven approach: measure outcomes and optimize based on metrics.', 'Scrappy, resourceful, and comfortable experimenting in a fast-moving environment.', 'Nice to have: familiarity with Dust, Clay, CommonRoom, Lemlist, Default, HubSpot.', 'Nice to have: background in early-stage startups or high-growth environments.', 'Nice to have: programming experience (Python, JavaScript).']",8,2.0,Build your team of AI agents.,https://dust.tt/,9.0,,"Strong match on analytics, automation, A/B testing, and growth mindset; limited direct sales/RevOps and specific GTM-tool experience.",
Magic Patterns,Chief of Staff,San Francisco,"Oct 29, 2025",https://jobs.ashbyhq.com/magicpatterns/443b7f97-0c1b-4d18-babd-53df22d68b01,"Chief of Staff at Magic Patterns: a close partner to the co-founder at a fast-growing Series A startup building tools to help product teams ship software faster. The role combines operator-level project and customer work, enterprise deal support, and strategic planning in a fast-paced, distributed team.","['Partner with the sales team to negotiate enterprise deals', 'Build and manage customer relationships for new engagements and ongoing partnerships', 'Lead planning processes for monthly, quarterly, and annual business reviews', 'Manage special projects and sensitive initiatives that require high judgment', 'Work closely with the founding team and support cross-functional initiatives']","['Exceptional attention to detail and strong organizational skills', 'History of taking full ownership of responsibilities and outcomes', 'Proven ability to manage multiple projects simultaneously, learn quickly, and execute effectively', 'Collaborative attitude and willingness to do any task to get the job done', 'Extremely reliable and able to deliver on commitments with minimal oversight', 'Bonus: Aspiration to start your own company and excitement to work closely with the founding team', 'Bonus: Comfortable with administrative and logistical work']",8,,"From idea to production, fast.",https://www.magicpatterns.com/,9.0,,"Strong fit—operations/strategy, founder/VC exposure, project ownership and stakeholder skills align well; limited direct enterprise SaaS sales/customer success experience.",
Toma,Business Development Representative,Remote (US),"Apr 21, 2025",https://jobs.ashbyhq.com/toma/5e2c7ac0-ce9b-4e72-b4bc-b7c778a31318,"The provided posting contains only website/application HTML and JavaScript loader content and does not include any job title, company description, role details, or hiring information.",[],[],8,,Voice-first AI agents for dealerships.,https://www.toma.com/,8.0,,Title directly matches candidate BD/GTM goals and relevant experience; posting lacks details so some uncertainty.,
Coast,Business Development Representative (BDR),"Salt Lake City, UT","Oct 7, 2025",https://job-boards.greenhouse.io/coast/jobs/4645584004,"Coast is an early-stage fintech building a modern B2B card and spend-management platform for commercial fleets and drivers. They are hiring a founding Business Development Representative (BDR) in Draper, UT to be the first point of contact for prospects, generate and qualify leads, and help accelerate sales for a fast-growing product.","['Prospect for, generate and qualify leads to create sales-ready opportunities', 'Make outbound cold calls and send emails daily', 'Research target customers and gather lead information through open-ended conversations', 'Meet or exceed monthly quotas for qualified appointments/demos and deals closed', 'Collaborate with Account Executives and the sales team to accelerate the sales cycle', 'Manage pipeline and enter/maintain data in Salesforce', 'Represent Coast professionally and communicate the company’s value proposition']","['1+ years in sales or customer-facing roles (B2B experience preferred)', 'Bachelor’s degree from a 4-year college or university', 'Strong written and verbal communication skills; confident and well-spoken', 'Proven ability to meet/exceed KPIs and targets', 'Attention to detail, strong organizational and time-management skills', 'Experience in retail, hospitality, customer service, or similar customer-facing roles and interest in a tech sales career', 'Entrepreneurial mindset: practical, business-minded, creative, and comfortable with early-stage startup volatility']",8,1.0,Fuel and fleet payments made easy.,https://coastpay.com/,8.0,,"Strong match to BD/GTM goals with startup outreach, customer-facing and entrepreneurial experience; minor gaps in explicit cold-calling/quota and Salesforce background.",
Peec AI,Marketing Analyst,"Berlin, Germany",2025-07-03,https://peec.ai/careers,Peec AI is an AI search analytics company focused on marketing teams. The provided posting contains site scripts and styling but does not include a specific job title or role description.,['Not specified in the posting'],['Not specified in the posting'],8,,AI search analytics for brands.,https://peec.ai/,9.0,,"Strong data/ML, A/B testing, and growth-oriented experience aligning well with a Marketing Analyst role; minor gap in explicit marketing-tool experience and posting lacks specifics.",
Strella,Customer Operations Associate,Strella HQ (New York City),"Oct 9, 2025",https://jobs.ashbyhq.com/strella/d389af2a-5d7c-466f-b0b9-7560bf3d3d83,"Strella is an AI-powered qualitative research startup seeking a Customer Operations Associate to manage end-to-end operational setup and execution of customer research projects, provide hands-on and high-touch customer support, coordinate logistics, communicate project status, and create customer education content while partnering with Product and Engineering.","['Manage operational setup and execution of customer research projects and provide hands-on support for enterprise customers', 'Advise customers on participant recruitment, scheduling, and data capture in real time', 'Troubleshoot issues and deliver high-touch support to ensure customer confidence', 'Coordinate logistics and proactively communicate project status, delays, and needs for clarification', 'Work cross-functionally with Engineering and Product to communicate product feedback', 'Create customer education content, including instructional videos']","['1–3 years in a customer-facing or operations role (e.g., Customer Success, Research Ops, Product Support)', 'Highly organized with strong attention to detail', 'Comfortable managing multiple projects and shifting priorities in a fast-paced environment', 'Excellent communicator — warm, concise, and proactive with customers and internal teams', 'Scrappy, solutions-oriented approach (able to identify and fix problems)', 'Bonus: experience with customer research tools, SaaS products, or startup environments']",8,1.0,AI-moderated interviews.,https://www.strella.io/,8.0,,Strong ops + customer-facing and startup/technical experience that map well to research ops; not a dedicated Customer Success title but highly transferable.,
Moment,Strategy & Ops,"New York, New York, United States","Sep 15, 2025",https://job-boards.greenhouse.io/momentmarkets/jobs/4783584007,"Moment is a fintech building an operating system for the $150T+ fixed income market, backed by Index, A16Z and Lightspeed. They seek a Strategy & Operations hire in NYC to build and scale the GTM and operations engine, lead high-impact GTM/strategy/operational projects, and drive the company's next phase of hypergrowth.","[""Lead and run point on the company's highest-priority GTM, operational, and strategy projects"", 'Build and scale the GTM engine to support continued 10x+ growth', 'Turn company operations into a scalable, efficient machine to enable rapid growth', 'Stand up and scale a world-class Strategy & Ops function and support scaling of other functions']","['Full-time, NYC (in-person) role', 'Ability to own and drive high-impact GTM, strategy, and operations projects', 'Comfortable working in a hypergrowth, fast-paced startup environment', 'Versatile, gritty, high-slope (rapid learning/impact) mindset']",8,,Engineering the future of fixed income.,https://moment.com/,9.0,,"Strong analytics + ops/strategy experience (VC, EIR, data science) and clear career fit for GTM/strategy; lacks explicit fixed‑income product experience and NYC in‑person commitment is unknown.",
Reka AI,Member of Product Staff,US (Remote),"Jun 9, 2025",https://jobs.ashbyhq.com/Reka/48b89e2b-0d4e-4d99-9b0f-ae8e5ee16132,The provided content is a web-page scaffold and JavaScript for loading a job posting; the actual job description and company information are not present. The page requires JavaScript to render the real job details.,['No responsibilities are listed in the provided text; the job details are not loaded due to missing rendered content.'],['No requirements are listed in the provided text; the job details are not loaded due to missing rendered content.'],8,,"Multimodal, modular intelligence.",https://reka.ai/,8.0,,Product role closely matches Mason’s strategy/ops/tech + growth/analytics background; missing job details create some uncertainty.,
Sequence,Revenue Associate,NYC / London,"Oct 17, 2025",https://jobs.ashbyhq.com/sequence/0eeb850d-1955-43af-bfe6-d23fc06e89d0,"Sequence is an early-stage fintech backed by a16z and Salesforce Ventures building a billing and revenue stack for B2B finance teams. They're hiring a founding Revenue Associate / BDR to build pipeline and outbound motions, book meetings with target customers, represent the company at events, and help scale go-to-market efforts with strong mentorship and equity compensation.","['Prospect and book meetings with target customers via email, LinkedIn, social and other channels', 'Build pipeline and scale outbound processes in partnership with the founding revenue team and COO', 'Execute marketing and outbound initiatives, including content for social media to develop the brand', 'Represent Sequence at industry events and conferences across the US', 'Think creatively to find non-obvious ways to reach finance and RevOps leaders']","['Motivated to join a fast-growing early-stage company as the first BDR', 'Hungry, self-starting and comfortable in a scrappy, fast-paced environment', 'Exceptional written and verbal communication skills', ""Proactive 'whatever it takes' mindset and strong bias to action"", 'Ability to articulate value propositions succinctly and engagingly', 'Creative approach to outreach and content', 'Willingness to travel as needed and to learn deeply about customers']",8,,Automate billing for every custom contract.,https://www.sequencehq.com/blog/introducing-sequence-20,8.0,,"Strong GTM/BD fit — startup, outreach, content and ops experience; limited direct quota-bearing sales experience.",
