Company,Description,URL,title,location,date_posted,link,fit,Unnamed: 8,fit reason,role description,role responsibilities,role reqs,role years experience,final fit,yrs exp req
Onton,Find the perfect product.,https://onton.com/,Open Application,San Francisco,"Mar 4, 2025",https://jobs.ashbyhq.com/onton/9b9c457f-8d94-465c-80e9-d9ef7fa42c05,9.0,,Strong ML/product + startup/strategy fit; limited direct growth/marketing execution.,"Open application for Onton, an AI-driven startup (launched late 2023) building a neurosymbolic agent to accelerate shopping decisions; hiring broadly and encouraging candidates from diverse backgrounds to apply even if they don't match every listed requirement.","['Submit an open application with basic info and your resume', 'Participate in onsite final-round interviews at the San Francisco office', 'Work full-time with strong in-person collaboration (hybrid: ~3 days/week in SF)', 'Help scale Onton’s products and AI search infrastructure to serve many more users', 'Potentially transition to fully remote after one year of tenure if working primarily on Pacific Time']","['Able to attend onsite interviews and work onsite/full-time in San Francisco (initially)', 'Willingness to work a hybrid schedule (about 3 days/week in office); relocation compensation offered', 'Alignment with company mission and values; open to candidates from diverse backgrounds', 'Able to operate primarily on Pacific Time if seeking remote transition after one year', 'Requests for reasonable accommodations during the application process are welcomed']",,8,
Prior Labs,Building foundation models for tabular data.,https://priorlabs.ai/,Various Positions,"Berlin, Germany",,https://jobs.ashbyhq.com/prior-labs,9.0,,'Various Positions' aligns with his business/tech general-application goals; missing role details create uncertainty.,Job posting page for Prior Labs (priorlabs.ai). The provided text contains site/app metadata and no specific role description or job details.,[],[],,8,
Fauna Robotics,"Robots that live, work, and play by our sides.",https://faunarobotics.com/,Careers at Fauna Robotics,"New York, United States",,https://faunarobotics.com/careers/,8.0,,"Various open roles could match his data/IE, human-factors, Python and product/ops strengths (UI/teleop, deployment, operations), but many listings are deep-robotics/hardware/C++ roles where he lacks direct experience.","Fauna Robotics careers page listing multiple open roles in New York, NY across robotics and related disciplines (Robot Animation Scientist/Engineer, Motor Control Scientist, VR/MR Teleoperation UI/UX Developer, Senior Mechanical Engineer – Robotic Actuators, Senior/Staff Software Engineer, Assembly Technician). The openings span research, hardware, software, controls, UI/UX and manufacturing for robotic systems.","['Design, develop, and iterate on robotic hardware and software systems', 'Research and implement motor control, animation, and AI-based algorithms for robots', 'Create and refine teleoperation and VR/MR user interfaces and experiences', 'Engineer mechanical components and robotic actuators, perform CAD and prototyping', 'Develop production-quality software (embedded, systems, or application-level) and integrate with hardware', 'Assemble, test, debug, and validate prototypes and production units', 'Collaborate cross-functionally with research, design, and manufacturing teams']","['Relevant technical background (degree or equivalent) in robotics, mechanical engineering, electrical engineering, computer science, HCI or related field', 'Experience with robotics fundamentals (controls, kinematics, dynamics) and relevant tools', 'Proficiency in programming languages commonly used in robotics (e.g., C++, Python) and experience with software development workflows', 'Experience with CAD, prototyping, testing, and hands-on hardware integration for hardware roles', 'Experience with VR/MR, UI/UX design, or teleoperation systems for related roles', 'Strong problem-solving, communication, and cross-disciplinary collaboration skills', 'Ability to work in a fast-paced startup environment and iterate on designs quickly']",,7,
Solidroad,The AI QA & training platform.,https://www.ycombinator.com/companies/solidroad,Product Support Specialist,San Francisco,"Oct 23, 2025",https://jobs.ashbyhq.com/solidroad/d02b4338-8938-4e26-a560-c859c2b57ebe,5.0,,"Strong analytics, SQL, AI interest and cross-functional ops/documentation experience match the product-insights aspects, but lacks 2–4 years of frontline SaaS/product-support/live-chat customer-success experience required.","Product Support Specialist at Solidroad, a San Francisco-based startup using AI and generative tech to scale customer support while preserving human warmth. Full-time, on-site role focused on troubleshooting, triaging bugs, and turning support insights into product improvements.","['Troubleshoot and resolve customer issues across Slack, live chat, email, and video calls', 'Manage inbound support tickets and live chat with empathy, precision, and urgency', 'Own the escalation process and coordinate with Product and Engineering to resolve bugs', 'Monitor and manage SLAs for response and resolution times', 'Analyze recurring issues and surface insights to reduce support volume and improve UX', 'Contribute to internal and external documentation and self-serve resources', 'Create product education videos and support customer onboarding', 'Collaborate cross-functionally to improve processes and close feedback loops', 'Participate in incident reviews and advocate for long-term fixes']","['2–4 years in Product Support, Technical Support, or Customer Success in a SaaS or AI-driven environment', 'Strong problem-solving and debugging skills', 'Excellent written and verbal communication; able to explain technical issues to non-technical audiences', 'Calm under pressure when handling live chats and escalations', 'Analytical mindset with ability to use data to spot trends', 'Highly organized, detail-oriented, proactive, and able to close loops', 'Familiarity with SQL, APIs, Intercom, or HubSpot is a plus', 'Curiosity about AI and customer experience']",,6,2.0
Solidroad,The AI QA & training platform.,https://www.ycombinator.com/companies/solidroad,Business Development Representative (EMEA),Dublin,"Sep 23, 2025",https://jobs.ashbyhq.com/solidroad/46205c31-6ad6-4822-96f9-c4664e530970,8.0,,"Strong fit for BD/GTM goals and analytical skills (sourcing, outreach, ops), but lacks explicit cold‑calling/CRM experience and requires in‑person Dublin relocation.","Solidroad, an AI-driven startup building tools to scale customer support, is hiring an early-career Business Development Representative (EMEA) to run outbound prospecting and book meetings with CX/support leaders. This full-time, in-person role works closely with the founders and sales team and offers rapid growth into closing or management roles.","['Drive top-of-funnel outreach via personalized email, LinkedIn social selling, and cold calls', 'Book qualified meetings with CX and support leaders (e.g., Heads of Support, VP of Ops, Directors of Enablement)', 'Collaborate with sales and marketing on outbound campaigns and messaging experiments', 'Maintain and update HubSpot; enforce pipeline discipline', 'Work with founders to refine ICP and the sales process', 'Hunt for deals, creatively break into accounts, and take on varied startup tasks']","['Comfortable cold calling and picking up the phone to contact strangers', 'Able to write tight, clear, and compelling emails', 'Enjoys experimenting with messaging and learning from results', 'Ambitious and motivated to grow quickly into an AE or manager role', 'Willing to work in-person with a close-knit team in Dublin', 'Curiosity, hustle, grit, and coachability valued over formal experience']",,6,
Solidroad,The AI QA & training platform.,https://www.ycombinator.com/companies/solidroad,Business Development Representative (NAMER),San Francisco,"Aug 21, 2025",https://jobs.ashbyhq.com/solidroad/cd50af46-26b1-4e75-abbf-160227154e85,8.0,,"Good match for BD/GTM goals—experience with sourcing, founder outreach, and analytics—but lacks explicit sales/cold‑calling history and requires full‑time in‑person SF availability while candidate is in a master's program.","Solidroad is an early-stage startup using AI and generative tech to scale customer support while preserving human empathy. They are hiring a Business Development Representative (NAMER) as one of the first sales hires to drive outbound prospecting, book meetings with CX/support leaders, and work closely with the founders in their San Francisco office.","['Conduct personalized email outreach, LinkedIn social selling, and cold calling to generate top-of-funnel activity', 'Book qualified meetings with CX and support leaders (e.g., Heads of Support, VPs of Ops, Directors of Enablement)', 'Collaborate with sales and marketing on outbound campaigns and messaging experiments', 'Maintain HubSpot and ensure pipeline discipline', 'Work with founders to refine ideal customer profile (ICP) and the sales process', 'Contribute to startup growth from early-stage toward scaling ARR']","['Comfortable cold calling and phone prospecting', 'Strong written communication for concise, compelling emails', 'Willingness to experiment with messaging and iterate based on results', 'Ambitious and motivated to grow quickly into an AE or manager role', 'Able and willing to work in-person five days a week in San Francisco', 'Curiosity, hustle, and coachability valued over a perfect CV; prior sales experience not required']",,7,
Solidroad,The AI QA & training platform.,https://www.ycombinator.com/companies/solidroad,Account Executive,San Francisco,"Apr 7, 2025",https://jobs.ashbyhq.com/solidroad/4d6811b7-68bd-418e-b38b-93b925135c35,8.0,,Lacks 3+ years of quota-bearing SaaS SDR/AE experience and proven outbound sales track record; has some transferable BD/GTM and founder-facing experience but not a close match.,"Solidroad is an early-stage San Francisco startup using AI and generative tech to scale customer support while preserving human empathy. They seek an Account Executive to join the small, on-site team and help build the sales function from the ground up—prospecting, closing SMB and midmarket deals, shaping the sales playbook, and partnering directly with founders. Base compensation listed at $250,000–$300,000 per year.","['Source, identify, and qualify leads across SMB and Midmarket and develop pipeline', 'Run full sales cycle from first outreach to contract signature and close new business', 'Sell to C-suite and customer experience leaders (e.g., Head of Support, VP of Operations)', 'Book meetings, run demos, and manage buyer interactions', 'Build repeatable outbound campaigns (email, phone, LinkedIn)', 'Maintain CRM hygiene in HubSpot and manage pipeline accurately', 'Collaborate with marketing on content and demand-generation experiments', 'Partner with product and customer success to surface customer insights and advocate internally', 'Help create and iterate the sales playbook and go-to-market strategy']","['3+ years experience as an SDR or AE in a high-velocity sales role, ideally selling SaaS to SMB and Midmarket', 'Proven outbound experience from strategy to execution (email, phone, LinkedIn)', 'Track record of meeting or exceeding quota and pursuing stretch goals', 'Comfort with ambiguity, hands-on execution, and wearing multiple hats at an early-stage company', 'Strong communication skills (email, calls, boardroom) and ability to run demos', 'Detail-oriented, organized, accountable, and able to keep leads from going cold', 'Founder mindset: care about product, customer experience, and company growth', 'Willingness to work full-time from the San Francisco office (five days a week) and grow into potential leadership roles']",,3,3.0
Alterego,The world's first near-telepathic interface.,https://www.alterego.io/,Careers at Alterego,"Boston, United States",,https://www.alterego.io/careers,8.0,,No role details provided — fit unknown.,"This posting appears to be for the company AlterEgo but contains mostly website HTML/CSS/JS markup and template content; no specific job title, responsibilities, or requirements are provided.",['Not specified in the provided posting'],['Not specified in the provided posting'],,3,
Letta,Stateful agents that remember and learn.,https://www.letta.com/,Product Engineer,San Francisco Office,"Nov 7, 2024",https://jobs.ashbyhq.com/letta/8433f17d-e271-490e-967a-a628e727ff34,7.0,,Good ML/product interest but lacks required React/TypeScript/Node full‑stack experience and is more engineering‑heavy than your stated business/strategy focus.,"Letta is a San Francisco–based startup building self-improving AI agents and developer tools. The Product Engineer, Agent Development Environment will design and implement the visual interfaces, SDKs, and cloud platform that enable developers to build, deploy, and monitor agent-driven applications. This is an on-site role (5 days/week) in downtown San Francisco.","['Design and build the Agent Development Environment (visual interface) for web and desktop (macOS, Windows).', 'Develop and maintain application SDKs that enable full‑stack agent apps with minimal code.', 'Implement cloud platform features for deployment, monitoring, and testing of agents with zero infrastructure setup.', 'Collaborate closely with designers, researchers, founders, customers, and the open source community to define product direction and surface-level UX.', 'Translate agent research and functionality (multi-agent collaboration, memory, voice, etc.) into usable developer tools and interfaces.', 'Create visualizations and workflows such as cross-agent communication, agent template versioning, and raw token rendering for LLM invocations.', 'Participate in customer-facing activities and dogfooding to surface improvements to the developer experience.']","['Strong frontend development skills (React).', 'Full‑stack experience including API design, database interaction (Postgres, Redis), and crafting user experiences.', 'Backend proficiency with Next.js, Node, and TypeScript (Python a plus).', 'Excellent communication skills to collaborate with designers and engage with customers.', 'Passion for developer experience and building well-designed products.', 'Interest in AI agents, LLMs, and understanding how they work under the hood.', 'Ability to work on-site in downtown San Francisco five days a week.']",,4,
Yutori,AI agents for everyday life.,https://yutori.com/,Growth Engineer,"San Francisco, California, United States","Jul 10, 2025",https://jobs.ashbyhq.com/yutori/868863f5-d707-490b-8892-4e4e7c8defa6,9.0,,"Solid experiment design, product intuition, Python/ML and growth experience align well, but missing required React/TypeScript/AWS and distributed-systems/frontend engineering experience.","Yutori, an AI startup building agent-first web experiences, is hiring a full-time Growth Engineer to join the founding team in San Francisco. The role focuses on translating cutting-edge AI capabilities into reliable product experiences and running rapid growth experiments to drive user acquisition, activation, and retention.","['Design, implement, and analyze experiments to drive user acquisition, activation, and retention', 'Own and develop frontend and backend systems that support growth initiatives', 'Improve the speed and quality of the engineering process', 'Collaborate closely with designers, product managers, and AI engineers', 'Iterate quickly on product and engineering changes to increase engagement and retention']","['Strong engineering skills in React, TypeScript, Python, and AWS', 'Deep understanding of how the web / HTTP works', 'Experience working with large distributed systems', 'Strong product intuition and attention to detail', 'Proactive, clear communicator with high agency, craftsmanship, and low ego', 'Ability to own both frontend and backend work and run experiments end-to-end']",,6,
Yutori,AI agents for everyday life.,https://yutori.com/,Create Your Role!,"San Francisco, California, United States","Mar 27, 2025",https://jobs.ashbyhq.com/yutori/3be09f86-d735-4c5a-8d07-265b4421c15e,8.0,,"Very good cross-functional fit — ML, product, ops and GTM experience plus startup/VC background; minor gaps in agent-specific production engineering and current MS timeline.","Yutori is an early-stage AI startup building agent-first products that automate everyday web tasks. They seek versatile, high-performing candidates to join the founding team in San Francisco across research, engineering, product, operations, or GTM under a “Create Your Role” approach.","['Design and build AI agents and the agent-first stack, from training models to creating generative product interfaces', 'Contribute across research, engineering, product, operations or go-to-market as proposed in your application', 'Collaborate closely with a small, cross-functional founding team to define and execute product and technical direction', 'Take ownership, communicate proactively and deliver high-quality, production-ready work', 'Work in-person in San Francisco and participate in team activities (e.g., daily lunches, on-site collaboration)']","['Demonstrated experience and expertise relevant to the role you apply for', 'Passion for building superhuman AI agents and contributing to Yutori’s mission', 'High cognitive ability (IQ), strong emotional intelligence (EQ), high agency and craftsmanship, low ego', 'Proactive, clear communication and ability to work in a small, fast-moving startup', 'Willingness to relocate to San Francisco (visa sponsorship and relocation stipend available)']",,8,
