Company,Description,URL,title,location,date_posted,link,fit,,fit reason,role description,role responsibilities,role reqs,role years experience,final fit,yrs exp req
Pallet,AI workers for logistics.,https://www.trypallet.com/,Sales Development Representative (SDR),San Francisco,"May 28, 2025",https://job-boards.greenhouse.io/pallet/jobs/4741324007,6,,"Relevant to BD/GTM and customer-facing goals; leverages analytics and communication, but SDR is a more junior sales role and the posting gives no details.","The text is website markup and UI content from Pallet's jobs page and does not contain a specific job title, role description, company overview, or hiring details.",[],[],,7,
Pallet,AI workers for logistics.,https://www.trypallet.com/,Customer Success - Build Your Own Role,San Francisco,"May 21, 2025",https://job-boards.greenhouse.io/pallet/jobs/4741534007,9,,"Strong ops, startup, and technical background aligned to CS/goals; limited explicit customer-success/account ownership experience.","Pallet is a fast-growing AI logistics startup (raised $50M) building AI Agents and a supply-chain platform. This listing is for a flexible, 'Build Your Own Role' Customer Success position where candidates pitch how they'd drive customer outcomes across onboarding, retention, enablement, and strategic growth. Role is remote or hybrid in San Francisco.","['Design, build, and scale onboarding and implementation workflows', 'Create proactive playbooks to drive customer engagement and retention', 'Collaborate cross-functionally with Product and Engineering to turn customer feedback into product improvements', 'Manage and grow strategic accounts, identifying upsell/expansion opportunities', 'Launch and optimize customer success tooling and automation to improve efficiency', 'Own customer outcomes and operationalize messy processes into repeatable systems']","['Demonstrated ownership and ability to improve operational processes', 'Experience in startups or high-growth environments', 'Track record of delivering measurable business impact for customers', 'Strong, proactive communication skills (internal and external)', ""Ability to articulate where they'd drive value and propose a customer success role/plan"", 'Interest or experience in onboarding, retention, product enablement, or strategic account growth']",,8,
Pallet,AI workers for logistics.,https://www.trypallet.com/,Sales - Build Your Own Role,San Francisco,"May 21, 2025",https://job-boards.greenhouse.io/pallet/jobs/4701020007,8,,Strong match — entrepreneurial GTM/BD focus with industrial‑engineering and data skills well suited to AI logistics; minor gaps: limited explicit quota-driven sales experience and potential SF‑hybrid timing.,"Pallet is an early-stage AI logistics company (San Francisco) building AI Agents and platforms to automate logistics workflows. This listing is a flexible ""Build Your Own Role"" sales opportunity for entrepreneurial, driven candidates to propose and create a sales or partnerships role that advances growth.","['Propose and develop a customized sales/partnership role to drive impact', 'Lead strategic sales initiatives targeting new segments or verticals', 'Build and refine outbound and inbound GTM playbooks', 'Structure and manage partner or channel relationships', 'Improve sales operations, tooling, and automation', 'Drive new revenue experiments including account expansion and pricing tests', 'Work collaboratively in a hybrid office environment (San Francisco, typically 3–4 days/week)']","['Entrepreneurial, action-oriented mindset willing to move quickly and experiment', 'Experience in early-stage or high-growth sales environments', 'Strong focus on customer outcomes and solving operational problems', ""Ability to clearly articulate how you'd contribute to Pallet's mission"", 'Comfort with ambiguity and wearing multiple hats', 'Willingness to work hybrid from the San Francisco office (accommodations possible)']",,8,
Slate,Low-cost electric pickup truck.,https://www.caranddriver.com/news/a64564869/2027-slate-truck-revealed/,Social Media Intern,"Troy, MI","Aug 15, 2025",https://job-boards.greenhouse.io/slate/jobs/4878914008,5,,Low: junior social-media internship (job content unavailable) is below the candidate's mid-level strategy/growth/ops ambitions and seniority.,"Page not found — the job posting content is unavailable (the supplied text contains an error message and SVG/path data, not a job description).",[],[],,3,
Slate,Low-cost electric pickup truck.,https://www.caranddriver.com/news/a64564869/2027-slate-truck-revealed/,Accessory Supplier Quality Engineer,"Troy, MI","Aug 13, 2025",https://job-boards.greenhouse.io/slate/jobs/4815803008,5,,Hands‑on supplier quality engineering role; candidate targets strategy/GTM/growth—only partial fit via IE/quality coursework.,"Job posting unavailable — page not found or content could not be retrieved; no company, role, or duties are provided in the supplied text.",[],[],,3,
Unstructured,Fully automated ETL tools for LLMs.,https://unstructured.io/,Solutions Architect,Remote,"Nov 4, 2025",https://jobs.lever.co/unstructuredtechnologies/6f8c8a43-eaba-454e-867f-f04c136f702d,5,,Job text is missing; a Solutions Architect is typically a technical/cloud-facing role and not well aligned with your business/strategy/growth-focused background.,Job posting for a Solutions Architect role at Unstructured Technologies. The provided text contains only the job title and extensive styling/CSS content; the actual job description appears to be missing or truncated.,['Not specified in the provided text (job details truncated/missing).'],['Not specified in the provided text (job details truncated/missing).'],,3,
Unstructured,Fully automated ETL tools for LLMs.,https://unstructured.io/,Business Development Representative,"Seattle, Washington","Sep 4, 2025",https://jobs.lever.co/unstructuredtechnologies/f9434b15-200c-43b3-bb84-d02a08d4639b,9,,Strong match to BD/GTM goals with analytic + tech background and sourcing/partner experience; limited explicit frontline sales/quota experience.,Job posting for a Business Development Representative at Unstructured Technologies. The provided text contains only the job title and company name; detailed role description and company information are not included.,['Not specified in the provided text'],['Not specified in the provided text'],,8,
Unstructured,Fully automated ETL tools for LLMs.,https://unstructured.io/,Forward Deployed Engineer,Remote,"May 7, 2025",https://jobs.lever.co/unstructuredtechnologies/5c12cb9c-b60f-4199-933d-903fb1c0ed19,6,,"Good match: strong data/ML coursework, Python/SQL skills, and client-facing experience align with FDE's blend of technical + stakeholder work; limited production engineering/backend experience tempers fit.","Forward Deployed Engineer role at Unstructured Technologies. The provided job posting text is largely garbled (contains CSS and HTML) and the full job description is not present, so specific details are unavailable.",['Not available in the provided (truncated/garbled) job posting.'],['Not available in the provided (truncated/garbled) job posting.'],,7,
Numeral,Ecommerce sales tax on autopilot.,https://www.numeralhq.com/,Founding Recruiter,"HQ - San Francisco, CA","Sep 30, 2025",https://jobs.ashbyhq.com/Numeral/80dd1248-3393-4b9c-8574-b711b248d5bc,6,,Seniority,"Founding Recruiter at Numeral, a Y Combinator-backed startup building automation for sales tax and commerce compliance. The role is an early, high-impact full‑cycle recruiting position to build recruiting infrastructure and scale headcount across engineering, product, go-to-market, and operations in a remote-first startup.","['Own end-to-end hiring across functions: Engineering, Product, Sales, Ops, and more', 'Partner with executives and hiring managers for role kickoffs, hiring process design, and candidate closing', 'Build and scale recruiting operations (ATS like Ashby, scheduling, dashboards, interviewer calibration, agency coordination)', 'Manage sourcing, top-of-funnel outreach, and candidate pipelines', 'Design and maintain a best-in-class candidate experience with clear communication and feedback loops', 'Track recruiting KPIs and build reports to inform hiring decisions', 'Define and scale employer branding, referral campaigns, and internal recruiting enablement']","['8+ years of recruiting experience (ideally with 3+ years in early-stage startups)', 'Proven ability to manage multiple requisitions across technical and non-technical roles', 'Strong sourcing skills and creative candidate outreach techniques', 'Experience building and scaling recruiting processes, systems, and interview loops from scratch', 'Comfort working directly with C-level executives and owning hiring strategy', 'Excellent communicator, writer, and operator — clear, concise, and action-oriented', 'Bonus: experience with Ashby, Rippling, Pave or similar HR tech stack', 'Bonus: passion for building team culture, DEI initiatives, and employer branding from 0→1']",,0,8
Numeral,Ecommerce sales tax on autopilot.,https://www.numeralhq.com/,Data Analyst,"HQ - San Francisco, CA","Sep 25, 2025",https://jobs.ashbyhq.com/Numeral/38a5fbbc-2556-499e-991d-e0a9806363d6,8,,"Strong SQL/Python and data‑ops + cross‑functional/ops focus aligns well with the role; weaker on direct e‑commerce/payments, DBT/ETL, and explicit transactional reconciliation experience.","Numeral is an early-stage YC-backed startup building automation for sales tax compliance. They are hiring a Data Analyst to reconcile and improve customer financial and transactional data, improve data quality and pipelines, and support cross-functional teams to scale onboarding and tax workflows.","['Reconcile financial and transactional data from multiple sources to enable accurate, repeatable sales tax filings', 'Normalize customer data across platforms (e.g. Stripe, Shopify, Numeral API) to ensure integrity in tax workflows', 'Partner with Sales, Engineering, Product, and Solutions teams to troubleshoot and resolve onboarding data issues', 'Support customer-facing teams with ad hoc data questions, investigations, and insights', 'Build internal tooling and processes to streamline reconciliation and improve onboarding throughput', 'Improve fidelity and performance of DBT pipelines and help evolve broader data architecture']","['Proficient in SQL and Excel/Google Sheets', 'Strong analytical and pattern recognition skills across large, messy, or multi-source datasets', 'Experience reconciling financial or transactional data, ideally in e-commerce or payments', 'Strong problem-solving skills and ability to operate autonomously in fast-moving environments', 'Clear communicator with high attention to detail and a collaborative mindset', 'Bonus: experience with DBT or similar ETL frameworks', 'Bonus: familiarity with Stripe, Shopify, Fivetran, Parquet, S3, DuckDB', 'Bonus: comfort with REST APIs and programmatic data transformation (e.g. Python or other scripting)', 'Bonus: prior exposure to tax, compliance, or accounting-related data or background in operations/finance/technical customer success']",,7,
Numeral,Ecommerce sales tax on autopilot.,https://www.numeralhq.com/,Associate Account Executive,"HQ - San Francisco, CA","Jul 22, 2025",https://jobs.ashbyhq.com/Numeral/2b9affcb-46e5-4a3e-9a8c-178aea063ebd,8,,"Aligns with startup/GT M/growth interests and cross‑functional work, but lacks the required 2+ years of SaaS/sales quota and proven consultative selling experience.","Numeral is an early-stage YC-backed startup building automation for sales tax compliance for e-commerce and fintech companies. The Associate Account Executive will be an early member of a high-performing sales team, owning full outbound-to-close sales for mid-market accounts and helping scale the business and product through consultative selling.","['Own the full sales cycle from outbound to close, focused on mid-market e-commerce and SaaS companies', 'Manage a high-velocity deal pipeline with ~30-day sales cycles', 'Sell into Tier 1 and Tier 2 personas (Founders, CEOs, CFOs, CAOs, Controllers, e-commerce operations leaders)', 'Conduct consultative discovery and product demos; tailor tax compliance solutions to customer needs', 'Partner with sales leadership, product, and solutions engineering to evolve sales strategy and improve win rates', 'Represent Numeral at industry events, conferences, and customer sessions (virtual or in-person)']","['2+ years of Sales Tax Compliance or SaaS sales experience with a consistent track record of meeting or exceeding quota', 'Strong discovery and consultative selling skills with a bias toward action and autonomy', 'Experience selling to finance, accounting, or operations stakeholders (especially in fintech, tax, ERP, or compliance SaaS)', 'High coachability, strong self-drive, and a growth mindset', 'Clear, persuasive written and verbal communication skills', 'Comfort navigating ambiguity in fast-paced, high-growth environments', 'Bonus: experience in sales tax, taxtech, fintech, or e-commerce tools', 'Bonus: exposure to MEDDICC and other sales methodologies', 'Bonus: familiarity with Salesforce, Gong, Nooks, or other modern sales tooling', 'Bonus: hunter’s energy and a founder’s mindset']",,4,2
Numeral,Ecommerce sales tax on autopilot.,https://www.numeralhq.com/,Founding Solutions Engineer,"HQ - San Francisco, CA","Jul 18, 2025",https://jobs.ashbyhq.com/Numeral/c1b6e226-255e-4f5f-9f79-3a4e3e83a5ce,7,,Seniority,"Numeral is an early-stage, YC-backed startup building automation for sales tax and e-commerce compliance. They’re hiring a Founding Deployment/Solutions Engineer to own the full technical sales lifecycle — from pre-sales demos and discovery to implementation and post-sales support — working cross-functionally to shape product and customer integrations.","['Lead technical discovery with Sales, run product demos, and scope integrations for prospects', 'Own technical onboarding and implementation from solution design through production launch', 'Build and maintain demo environments, proofs-of-concept, and integration documentation', 'Translate customer requirements into product and engineering features and improvements', 'Advise customers on architecture, APIs, and integration best practices', 'Create internal tools and automations to improve solution delivery', 'Act as the voice of the customer to inform roadmap and product decisions']","['8+ years as a Deployment Engineer, Software Engineer, Solutions Engineer, or Sales Engineer at a SaaS company', 'Strong coding skills (ideally Python, JavaScript, or similar) and experience working with APIs', 'Proven experience working directly with customers in a technical, customer-facing capacity', 'Excellent communication skills for technical and non-technical audiences', 'Strong problem-solving mindset and ability to operate in ambiguous, fast-paced environments', 'Preferred: experience with fintech or tax compliance integrations, sales tax systems, accounting software or ERPs, and prior startup/early-stage pre- and post-sales engineering experience']",,0,8
Numeral,Ecommerce sales tax on autopilot.,https://www.numeralhq.com/,Software Engineer (Product),"HQ - San Francisco, CA","Jul 16, 2025",https://jobs.ashbyhq.com/Numeral/3d9dd65d-4d7e-4d3d-b1ee-390074e27266,6,,Seniority,"Numeral is an early-stage, Y Combinator-backed startup building automation for e-commerce compliance (starting with sales tax). They seek a foundational Full-Stack / Product Software Engineer to design and implement core APIs, services, and infrastructure, help define engineering strategy, and have high ownership in a fast-growing, remote-first company.","['Design and build scalable, secure backend services and APIs from scratch', 'Make architectural decisions prioritizing speed, data integrity, and maintainability', 'Collaborate with product, design, and data teams to deliver performant customer workflows', 'Own infrastructure, observability, and performance for services', 'Drive engineering strategy, product execution, code quality, and backend culture']","['7+ years building backend systems in high-growth environments', 'Fluency with backend technologies such as Node.js, PostgreSQL, Redis and cloud services (AWS preferred)', 'Experience designing robust APIs and distributed systems at scale', 'Strong product sensibility and ability to balance performance, flexibility, and speed', 'Comfortable working in dynamic startup environments and evolving requirements', 'Excellent communication and collaboration skills', 'Nice-to-haves: payments/tax/accounting/regulatory experience, infrastructure/platform engineering (CI/CD, observability), experience scaling monolith-to-service or event-driven systems, familiarity with GraphQL, Kafka, Terraform, or container orchestration']",,0,7
ShopMy,World-class creator marketing programs.,https://www.businessinsider.com/read-pitch-deck-affiliate-marketing-startup-shopmy-used-series-a-2024-6,"Associate, Strategic Creators",US- Remote,"Nov 3, 2025",https://job-boards.greenhouse.io/shopmy/jobs/4973795008,8,,Strong analytics + outreach/ops and sourcing/relationship experience make this a solid BD fit; limited direct creator/influencer/CRM selling experience prevents a 9–10.,"ShopMy is a fast-growing creator-commerce platform (recently raised Series B) seeking an Associate/BDR, Strategic Creators to prospect, engage, and book qualified meetings with high-potential creators to drive GMV and brand partnerships.","['Research and identify high-potential creators across target categories', 'Build and manage a structured outbound outreach pipeline', 'Execute personalized outreach (email, social, DMs, event follow-ups) to drive meetings', 'Craft tailored pitches highlighting ShopMy’s value and earning opportunities', 'Schedule and manage logistics for intro calls and demos; ensure seamless handoffs', 'Track outreach metrics (volume, response rate, meeting conversion) and optimize performance', 'Maintain accurate CRM and outreach tracking data', 'Partner with Creator Experience, Creator Growth, and Marketing to support transitions and lead generation', 'Share feedback and insights from creator conversations to refine messaging and targeting']","['Bachelor’s degree required', '1–2 years professional experience in outbound sales, partnerships, or creator/influencer marketing (preferred)', 'Strong written and verbal communication; comfortable reaching out to creators and agents', 'Analytical, data-driven mindset with ability to act on performance metrics', 'Organized, persistent, and motivated by metrics and goals', 'Experience using CRM and outreach/tools to manage pipeline']",,8,1
ShopMy,World-class creator marketing programs.,https://www.businessinsider.com/read-pitch-deck-affiliate-marketing-startup-shopmy-used-series-a-2024-6,"Business Development Representative, Strategic Creators",US- Remote,"Oct 16, 2025",https://job-boards.greenhouse.io/shopmy/jobs/4957162008,8,,"Strong match for BD/growth goals—relevant sourcing/outreach, event and podcast ops, analytics and self-starter traits; minor gaps in direct creator/influencer CRM experience.","ShopMy is a fast-growing creator commerce platform (fresh off a $77M Series B) seeking a Business Development Representative, Strategic Creators to identify, engage and book high-potential creators. The role focuses on outbound prospecting, relationship-building, and creating qualified meetings to grow ShopMy’s strategic creator network.","['Research and identify high-potential creators across target categories with strong GMV and brand equity potential', 'Build and manage a structured outreach pipeline to maintain consistent top-of-funnel activity', 'Execute personalized outbound campaigns (email, social, DMs, event follow-ups) to drive qualified meetings', 'Craft tailored pitches showcasing ShopMy’s value proposition, brand partnerships, and earning opportunities', 'Manage scheduling and logistics for intro calls and demos and ensure seamless handoff to the Strategic Creators team', 'Track outreach metrics (volume, response rate, meeting conversion) and optimize performance', 'Maintain accurate data in CRM and outreach tracking tools', 'Partner with Creator Experience, Creator Growth, and Marketing to support transitions, engagement, and lead-generation from campaigns/events', 'Share feedback and insights from creator conversations to refine messaging and targeting']","['Bachelor’s degree (required)', '1–2 years professional experience in outbound sales, partnerships, or creator/influencer marketing (preferred)', 'Strong written and verbal communication skills; comfortable reaching out to creators and agencies', 'Analytical, data-driven mindset with the ability to convert metrics into actionable improvements', 'Self-starter, highly organized, and motivated by metrics and goals', 'Experience using CRM systems and outreach/tracking tools; ability to manage scheduling and logistics']",,8,
